site,dataset,buf_crop_1992,buf_crop_2005,buf_past_1993,buf_past_2009,buf_HFP_1993,buf_HFP_2009
LEWI_2017-03-24,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2017-11-06,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2018-03-23,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2018-03-23,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2018-07-09,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2019-03-19,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2019-07-22,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2019-07-22,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2021-03-25,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2021-03-25,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2021-07-27,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2021-11-01,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
LEWI_2021-11-01,neon,0,0,0.107769424,0.107769424,11.72374237,11.93928122
MART_2021-07-28,neon,0,0,0,0,3.083571682,3.28624429
MAYF_2016-03-21,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2016-06-29,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2016-10-24,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2017-07-18,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2018-03-26,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2018-07-26,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2018-10-29,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2018-10-29,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2019-03-11,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2021-03-15,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2021-07-21,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2021-10-18,neon,0,0,0,0,4.575143034,5.041450287
MAYF_2021-10-18,neon,0,0,0,0,4.575143034,5.041450287
MCDI_2017-03-28,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2017-07-07,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2017-10-06,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2018-07-11,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2018-10-03,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2018-10-03,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2019-04-05,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2019-07-10,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2020-06-05,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2020-06-05,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2020-07-21,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2020-09-30,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2021-03-26,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCDI_2021-03-26,neon,1.723880597,0.226368159,1.383084577,1.803482587,7.748289908,6.671175445
MCRA_2017-08-01,neon,0,0,0,0,1.741696395,2.182605489
MCRA_2017-09-25,neon,0,0,0,0,1.741696395,2.182605489
MCRA_2018-07-23,neon,0,0,0,0,1.741696395,2.182605489
MCRA_2021-07-27,neon,0,0,0,0,1.741696395,2.182605489
OKSR_2018-06-16,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2018-07-09,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2018-07-09,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2018-08-15,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2018-08-15,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2021-06-18,neon,0,0,0,0,2.24781749,2.24781749
OKSR_2021-07-02,neon,0,0,0,0,2.24781749,2.24781749
POSE_2016-07-18,neon,0,0,0,0,15.58361672,17.2644147
POSE_2017-03-17,neon,0,0,0,0,15.58361672,17.2644147
POSE_2017-03-17,neon,0,0,0,0,15.58361672,17.2644147
POSE_2017-07-17,neon,0,0,0,0,15.58361672,17.2644147
POSE_2017-10-23,neon,0,0,0,0,15.58361672,17.2644147
POSE_2018-03-16,neon,0,0,0,0,15.58361672,17.2644147
POSE_2018-07-16,neon,0,0,0,0,15.58361672,17.2644147
POSE_2018-11-05,neon,0,0,0,0,15.58361672,17.2644147
POSE_2019-03-26,neon,0,0,0,0,15.58361672,17.2644147
POSE_2019-07-15,neon,0,0,0,0,15.58361672,17.2644147
POSE_2019-11-04,neon,0,0,0,0,15.58361672,17.2644147
POSE_2020-07-07,neon,0,0,0,0,15.58361672,17.2644147
